tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,0.0,0.000,0.0,-0.008,1.000,0.000,false,0,-1.0,127.6,0,0,0
2,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,80
3,1,0.4,-0.0,0.010,-171.7,0.754,1.000,0.000,false,0,-1.0,127.6,0,0,191
4,1,0.4,0.0,0.010,-20.6,0.083,1.000,0.000,false,0,-1.0,127.6,0,0,298
5,1,0.4,0.0,0.010,-38.3,0.161,1.000,0.000,false,0,-1.0,127.6,0,0,425
6,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,517
7,1,0.4,-0.0,0.010,-177.4,0.780,1.000,0.000,false,0,-1.0,127.6,0,0,627
8,1,0.4,-0.0,0.010,-8.7,0.030,1.000,0.000,false,0,-1.0,127.6,0,0,736
9,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,846
10,1,0.4,0.0,0.010,171.3,-0.770,1.000,0.000,false,0,-1.0,127.6,0,0,955
11,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1064
12,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1176
13,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1285
14,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1395
15,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1505
16,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1615
17,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1724
18,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1833
19,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1942
20,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2058
21,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2162
22,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2273
23,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2384
24,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2492
25,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2607
26,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2717
27,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2830
28,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2940
29,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3049
30,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3159
31,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3266
32,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3375
33,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3486
34,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3594
35,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3705
36,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3817
37,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,3927
38,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4039
39,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4214
40,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4316
41,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4423
42,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4535
43,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4643
44,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,4768
