tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,-0.0,0.010,47.6,-0.047,1.000,0.000,false,0,-1.0,127.6,0,0,1
2,1,0.4,-0.0,0.010,-94.7,0.052,1.000,0.000,false,0,-1.0,127.6,0,0,142
3,1,0.4,0.0,0.010,13.9,0.015,1.000,0.000,false,0,-1.0,127.6,0,0,260
4,1,0.4,0.0,0.010,24.4,-0.017,1.000,0.000,false,0,-1.0,127.6,0,0,364
5,1,0.4,0.3,0.010,2.4,-0.016,1.000,0.000,false,0,-1.0,127.6,0,0,471
6,1,0.4,2.5,0.010,2.1,-0.016,1.000,0.000,false,0,-1.0,127.6,0,0,581
7,1,0.4,4.4,0.020,2.1,-0.016,1.000,0.000,false,0,-1.0,127.6,0,0,689
8,1,0.4,6.1,0.020,2.1,-0.016,1.000,0.000,false,0,-1.0,127.6,0,0,802
9,1,0.4,8.0,0.030,2.1,-0.016,1.000,0.000,false,0,-1.0,127.6,0,0,910
10,1,0.4,9.9,0.040,2.1,-0.016,1.000,0.000,false,0,-1.0,127.6,0,0,1017
11,1,0.4,11.8,0.050,2.0,-0.017,1.000,0.000,false,0,-1.0,127.6,0,0,1131
12,1,0.4,13.4,0.060,1.9,-0.017,1.000,0.000,false,0,-1.0,127.6,0,0,1238
13,1,0.4,13.7,0.080,1.9,-0.018,1.000,0.000,false,0,-1.0,127.6,0,0,1349
14,1,0.4,15.6,0.090,1.7,-0.018,1.000,0.000,false,0,-1.0,127.6,0,0,1457
15,1,0.4,16.9,0.110,1.6,-0.018,1.000,0.000,false,0,-1.0,127.6,0,0,1572
16,1,0.4,17.9,0.120,1.5,-0.019,1.000,0.000,false,0,-1.0,127.6,0,0,1675
17,1,0.4,20.0,0.130,1.4,-0.019,1.000,0.000,false,0,-1.0,127.6,0,0,1787
18,1,0.4,21.8,0.150,1.3,-0.020,1.000,0.000,false,0,-1.0,127.6,0,0,1901
19,1,0.4,22.3,0.160,1.1,-0.020,1.000,0.000,false,0,-1.0,127.6,0,0,2007
20,1,0.4,24.5,0.170,1.0,-0.020,1.000,0.000,false,0,-1.0,127.6,0,0,2130
21,1,0.4,26.6,0.180,0.8,-0.020,1.000,0.000,false,0,-1.0,127.6,0,0,2229
22,1,0.4,28.7,0.190,0.7,-0.021,1.000,0.000,false,0,-1.0,127.6,0,0,2338
23,1,0.4,30.4,0.200,0.5,-0.021,1.000,0.000,false,0,-1.0,127.6,0,0,2445
24,1,0.4,32.4,0.210,0.4,-0.021,1.000,0.000,false,0,-1.0,127.6,0,0,2555
25,1,0.8,34.4,0.230,1.8,-0.021,1.000,0.000,false,0,-1.0,128.4,0,0,2666
26,1,0.8,36.4,0.270,1.6,-0.021,1.000,0.000,false,0,-1.0,128.4,0,0,2776
27,1,0.8,38.1,0.290,1.5,-0.022,1.000,0.000,false,0,-1.0,128.4,0,0,2886
28,1,0.8,39.4,0.320,1.3,-0.023,1.000,0.000,false,0,-1.0,128.4,0,0,2993
29,1,0.8,40.7,0.350,1.1,-0.024,1.000,0.000,false,0,-1.0,128.4,0,0,3104
30,1,0.8,42.4,0.360,1.0,-0.024,1.000,0.000,false,0,-1.0,128.4,0,0,3212
31,1,0.8,44.3,0.380,0.8,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,3326
32,1,0.8,46.2,0.400,0.6,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,3432
33,1,1.2,48.0,0.420,1.4,-0.025,1.000,0.000,false,0,-1.0,125.2,0,0,3542
34,1,1.2,49.6,0.450,1.2,-0.025,1.000,0.000,false,0,-1.0,125.2,0,0,3651
35,1,1.2,51.2,0.480,1.1,-0.026,1.000,0.000,false,0,-1.0,125.2,0,0,3764
36,1,1.2,53.1,0.500,0.9,-0.026,1.000,0.000,false,0,-1.0,125.2,0,0,3873
37,1,1.2,54.9,0.520,0.6,-0.027,1.000,0.000,false,0,-1.0,125.2,0,0,3983
38,1,1.2,56.7,0.540,0.4,-0.027,1.000,0.000,false,0,-1.0,125.2,0,0,4092
39,1,1.5,58.4,0.550,0.6,-0.025,1.000,0.000,false,0,-1.0,121.2,0,0,4201
40,1,1.5,60.0,0.560,0.4,-0.024,1.000,0.000,false,0,-1.0,121.2,0,0,4308
41,1,1.5,61.7,0.570,0.2,-0.023,1.000,0.000,false,0,-1.0,121.2,0,0,4419
42,1,1.5,63.4,0.560,-0.0,-0.022,1.000,0.000,false,0,-1.0,121.2,0,0,4528
43,1,1.5,65.1,0.560,-0.3,-0.022,1.000,0.000,false,0,-1.0,121.2,0,0,4639
44,1,1.9,66.8,0.540,-0.5,-0.018,1.000,0.000,false,0,-1.0,117.2,0,0,4759
45,1,1.9,68.3,0.520,-0.7,-0.015,1.000,0.000,false,0,-1.0,117.2,0,0,4859
46,1,1.9,70.0,0.480,-0.9,-0.012,1.000,0.000,false,0,-1.0,117.2,0,0,4970
47,1,1.9,71.7,0.440,-1.1,-0.009,1.000,0.000,false,0,-1.0,117.2,0,0,5078
48,1,1.9,73.3,0.390,-1.2,-0.007,1.000,0.000,false,0,-1.0,117.2,0,0,5188
49,1,2.3,74.8,0.340,-2.0,-0.001,1.000,0.000,false,0,-1.0,111.6,0,0,5293
50,1,2.3,76.4,0.250,-2.0,0.004,1.000,0.000,false,0,-1.0,111.6,0,0,5405
51,1,2.3,78.1,0.160,-2.1,0.009,1.000,0.000,false,0,-1.0,111.6,0,0,5512
52,1,2.3,79.5,0.090,-2.1,0.014,1.000,0.000,false,0,-1.0,111.6,0,0,5621
53,1,2.3,81.1,-0.000,-2.1,0.018,1.000,0.000,false,0,-1.0,111.6,0,0,5731
54,1,2.7,83.7,-0.220,-3.2,0.031,0.769,0.000,false,0,-1.0,106.8,0,0,5911
55,1,2.7,85.4,-0.370,-3.0,0.041,0.715,0.000,false,0,-1.0,106.8,0,0,6020
56,1,2.7,86.7,-0.480,-2.7,0.048,0.671,0.000,false,0,-1.0,106.8,0,0,6122
57,1,3.1,88.1,-0.660,-4.3,0.063,0.542,0.000,false,0,-1.0,104.4,0,0,6232
58,1,3.1,89.5,-0.850,-3.9,0.074,0.497,0.000,false,0,-1.0,104.4,0,0,6341
59,1,3.1,90.5,-0.990,-3.4,0.083,0.463,0.000,false,0,-1.0,104.4,0,0,6449
60,1,3.1,91.5,-1.140,-2.8,0.091,0.429,0.000,false,0,-1.0,104.4,0,0,6556
61,1,3.5,91.6,-1.380,-4.8,0.107,0.372,0.000,false,0,-1.0,102.8,0,0,6668
62,1,3.5,91.6,-1.550,-4.0,0.118,0.373,0.000,false,0,-1.0,102.8,0,0,6778
63,1,3.5,91.4,-1.700,-3.0,0.127,0.379,0.000,false,0,-1.0,102.8,0,0,6890
64,1,3.9,91.0,-1.850,-5.8,0.141,0.419,0.000,false,0,-1.0,103.6,0,0,7001
65,1,3.9,89.9,-2.070,-4.4,0.153,0.457,0.000,false,0,-1.0,103.6,0,0,7113
66,1,3.9,88.1,-2.210,-3.0,0.161,0.518,0.000,false,0,-1.0,103.6,0,0,7228
67,1,3.9,86.3,-2.280,-1.4,0.165,0.576,0.000,false,0,-1.0,103.6,0,0,7330
68,1,4.3,84.8,-2.420,-5.7,0.176,0.679,0.000,false,0,-1.0,105.2,0,0,7438
69,1,4.3,83.2,-2.610,-4.1,0.185,0.733,0.000,false,0,-1.0,105.2,0,0,7547
70,1,4.3,81.7,-2.720,-2.3,0.190,0.783,0.000,false,0,-1.0,105.2,0,0,7661
