tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,0.0,0.000,0.0,-0.010,1.000,0.000,false,0,-1.0,127.6,0,0,1
2,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,82
3,1,0.4,-0.0,0.010,-122.9,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,193
4,1,0.4,-0.0,0.010,19.3,-0.231,1.000,0.000,false,0,-1.0,127.6,0,0,300
5,1,0.4,0.0,0.010,-1.8,0.004,1.000,0.000,false,0,-1.0,127.6,0,0,410
6,1,0.4,0.0,0.010,-36.1,0.385,1.000,0.000,false,0,-1.0,127.6,0,0,522
7,1,0.4,-0.0,0.010,171.3,-1.000,1.000,0.000,false,0,-1.0,127.6,0,0,632
8,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,746
9,1,0.4,0.0,0.010,2.6,-0.045,1.000,0.000,false,0,-1.0,127.6,0,0,856
10,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,968
11,1,0.4,0.0,0.010,-166.1,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,1080
12,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1188
13,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1328
14,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1438
15,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1545
16,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1658
17,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1768
18,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1878
19,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1987
20,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2098
21,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2217
22,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2333
23,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2449
24,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2555
25,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2679
26,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2796
27,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2902
28,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3009
29,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3135
30,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3248
31,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3355
