tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,0.0,0.010,47.6,-0.147,1.000,0.000,false,0,-1.0,127.6,0,0,1
2,1,0.4,-0.0,0.010,-125.9,0.323,1.000,0.000,false,0,-1.0,127.6,0,0,75
3,1,0.4,-0.0,0.010,33.6,-0.025,1.000,0.000,false,0,-1.0,127.6,0,0,186
4,1,0.4,0.0,0.010,-2.8,-0.006,1.000,0.000,false,0,-1.0,127.6,0,0,295
5,1,0.4,-0.0,0.010,47.6,-0.148,1.000,0.000,false,0,-1.0,127.6,0,0,402
6,1,0.4,-0.0,0.010,47.6,-0.184,1.000,0.000,false,0,-1.0,127.6,0,0,513
7,1,0.4,-0.0,0.010,47.6,-0.193,1.000,0.000,false,0,-1.0,127.6,0,0,622
8,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,732
9,1,0.4,-0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,841
10,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,951
11,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1062
12,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1170
13,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1282
14,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1392
15,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1501
16,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1610
17,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1723
18,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1830
19,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,1940
20,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2050
21,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2164
22,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2268
23,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2379
24,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2489
25,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2598
26,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2709
27,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2824
28,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,2932
29,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3039
30,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3149
31,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3263
32,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3369
33,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3481
34,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3595
35,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3705
36,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3818
37,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,3924
38,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,4035
39,1,0.4,0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,4144
40,1,0.4,-0.0,0.010,47.6,-0.195,1.000,0.000,false,0,-1.0,127.6,0,0,4253
41,1,0.4,0.0,0.010,13.9,-0.097,1.000,0.000,false,0,-1.0,127.6,0,0,4359
42,1,0.4,-0.0,0.010,-166.1,0.452,1.000,0.000,false,0,-1.0,127.6,0,0,4467
43,1,0.4,1.2,0.010,9.3,0.078,1.000,0.000,false,0,-1.0,127.6,0,0,4580
44,1,0.4,3.3,0.020,5.9,-0.006,1.000,0.000,false,0,-1.0,127.6,0,0,4691
45,1,0.4,5.0,0.020,3.1,-0.019,1.000,0.000,false,0,-1.0,127.6,0,0,4799
46,1,0.4,6.9,0.030,2.5,-0.021,1.000,0.000,false,0,-1.0,127.6,0,0,4910
47,1,0.4,8.8,0.040,2.3,-0.021,1.000,0.000,false,0,-1.0,127.6,0,0,5017
48,1,0.4,10.6,0.050,2.2,-0.021,1.000,0.000,false,0,-1.0,127.6,0,0,5134
49,1,0.4,12.5,0.070,2.1,-0.022,1.000,0.000,false,0,-1.0,127.6,0,0,5239
50,1,0.4,13.9,0.080,2.0,-0.022,1.000,0.000,false,0,-1.0,127.6,0,0,5346
51,1,0.4,14.3,0.090,1.9,-0.022,1.000,0.000,false,0,-1.0,127.6,0,0,5458
52,1,0.4,16.3,0.110,1.8,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,5571
53,1,0.4,16.8,0.120,1.7,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,5681
54,1,0.4,18.9,0.140,1.5,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,5793
55,1,0.4,21.0,0.150,1.4,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,5902
56,1,0.4,21.5,0.170,1.2,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,6011
57,1,0.4,23.3,0.180,1.1,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,6120
58,1,0.4,25.5,0.190,0.9,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,6231
59,1,0.4,27.5,0.200,0.7,-0.023,1.000,0.000,false,0,-1.0,127.6,0,0,6343
60,1,0.4,29.6,0.210,0.5,-0.022,1.000,0.000,false,0,-1.0,127.6,0,0,6451
61,1,0.4,31.3,0.220,0.4,-0.022,1.000,0.000,false,0,-1.0,127.6,0,0,6561
62,1,0.4,33.3,0.220,0.2,-0.022,1.000,0.000,false,0,-1.0,127.6,0,0,6673
63,1,0.8,35.3,0.250,1.6,-0.023,1.000,0.000,false,0,-1.0,128.4,0,0,6782
64,1,0.8,37.3,0.280,1.4,-0.024,1.000,0.000,false,0,-1.0,128.4,0,0,6891
65,1,0.8,38.6,0.310,1.2,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,7003
66,1,0.8,39.9,0.330,1.0,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,7113
67,1,0.8,41.5,0.350,0.9,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,7221
68,1,0.8,43.4,0.360,0.7,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,7329
69,1,0.8,45.3,0.370,0.5,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,7439
70,1,0.8,46.9,0.380,0.3,-0.025,1.000,0.000,false,0,-1.0,128.4,0,0,7545
71,1,1.2,48.7,0.410,1.1,-0.025,1.000,0.000,false,0,-1.0,125.2,0,0,7658
72,1,1.2,50.5,0.430,0.9,-0.025,1.000,0.000,false,0,-1.0,125.2,0,0,7768
73,1,1.2,52.3,0.450,0.7,-0.025,1.000,0.000,false,0,-1.0,125.2,0,0,7881
74,1,1.2,54.1,0.470,0.5,-0.025,1.000,0.000,false,0,-1.0,125.2,0,0,7990
