tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,elapsed_ms
1,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,0
2,1,0.4,0.0,0.010,-93.9,0.409,1.000,0.000,false,780
3,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,893
4,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1007
5,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1143
6,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1251
7,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1361
8,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1471
9,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1580
10,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1693
11,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1801
12,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1918
13,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2021
14,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2131
15,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2238
16,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2346
17,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2457
18,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2568
19,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2677
20,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2789
21,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2904
22,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3026
23,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3128
24,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3228
25,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3338
26,1,0.4,0.0,0.010,171.3,-0.770,1.000,0.000,false,3450
27,1,0.4,0.0,0.010,2.6,-0.020,1.000,0.000,false,3558
28,1,0.4,0.0,0.010,-177.4,0.780,1.000,0.000,false,3664
29,1,0.4,1.5,0.010,9.6,-0.051,1.000,0.000,false,3776
30,1,0.4,3.7,0.020,4.7,-0.030,1.000,0.000,false,3886
31,1,0.4,5.3,0.020,1.9,-0.018,1.000,0.000,false,3996
32,1,0.4,7.3,0.030,2.1,-0.019,1.000,0.000,false,4107
