tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,0
2,1,0.4,-0.0,0.010,-122.5,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,81
3,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,194
4,1,0.4,0.0,0.010,7.0,-0.094,1.000,0.000,false,0,-1.0,127.6,0,0,299
5,1,0.4,0.0,0.010,-72.7,0.792,1.000,0.000,false,0,-1.0,127.6,0,0,410
6,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,520
7,1,0.4,-0.0,0.010,-122.9,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,629
8,1,0.4,-0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,739
9,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,850
10,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,960
11,1,0.4,0.0,0.010,-132.4,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,1070
12,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1179
13,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1288
14,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1396
15,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1505
16,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1613
17,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1725
18,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1831
19,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,1943
20,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2050
21,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2167
22,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2272
23,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2383
24,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2494
25,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2602
26,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2712
27,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2822
28,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,2929
29,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3037
30,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3145
31,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3265
32,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3366
33,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3476
34,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3586
35,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3697
36,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3807
37,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,3917
38,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4029
39,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4136
40,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4245
41,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4361
42,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4467
43,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4577
44,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4688
45,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4797
46,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,4906
47,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,5018
48,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,5127
49,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,5238
50,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,5348
51,1,0.4,0.0,0.010,47.6,-0.545,1.000,0.000,false,0,-1.0,127.6,0,0,5467
52,1,0.4,0.0,0.010,33.6,-0.390,1.000,0.000,false,0,-1.0,127.6,0,0,5565
53,1,0.4,-0.0,0.010,-155.6,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,5674
54,1,0.4,0.0,0.010,-146.4,1.000,1.000,0.000,false,0,-1.0,127.6,0,0,5784
55,1,0.4,1.2,0.010,11.6,-0.145,1.000,0.000,false,0,-1.0,127.6,0,0,5893
56,1,0.4,3.3,0.020,7.8,-0.109,1.000,0.000,false,0,-1.0,127.6,0,0,6003
57,1,0.4,5.2,0.020,0.3,-0.026,1.000,0.000,false,0,-1.0,127.6,0,0,6113
58,1,0.4,7.1,0.030,1.5,-0.046,1.000,0.000,false,0,-1.0,127.6,0,0,6225
59,1,0.4,9.0,0.030,1.5,-0.046,1.000,0.000,false,0,-1.0,127.6,0,0,6335
60,1,0.4,10.9,0.040,1.3,-0.050,1.000,0.000,false,0,-1.0,127.6,0,0,6444
61,1,0.4,12.4,0.050,1.0,-0.049,1.000,0.000,false,0,-1.0,127.6,0,0,6552
62,1,0.4,13.8,0.050,0.8,-0.044,1.000,0.000,false,0,-1.0,127.6,0,0,6665
63,1,0.4,14.5,0.060,0.7,-0.046,1.000,0.000,false,0,-1.0,127.6,0,0,6775
64,1,0.4,16.5,0.060,0.4,-0.039,1.000,0.000,false,0,-1.0,127.6,0,0,6884
65,1,0.4,16.6,0.060,0.2,-0.037,1.000,0.000,false,0,-1.0,127.6,0,0,6996
66,1,0.4,18.9,0.060,0.1,-0.033,1.000,0.000,false,0,-1.0,127.6,0,0,7104
67,1,0.4,21.0,0.060,-0.2,-0.027,1.000,0.000,false,0,-1.0,127.6,0,0,7221
68,1,0.4,21.6,0.060,-0.3,-0.026,1.000,0.000,false,0,-1.0,127.6,0,0,7326
69,1,0.4,23.7,0.050,-0.5,-0.019,1.000,0.000,false,0,-1.0,127.6,0,0,7435
70,1,0.4,25.5,0.040,-0.6,-0.014,1.000,0.000,false,0,-1.0,127.6,0,0,7543
71,1,0.4,27.6,0.030,-0.7,-0.010,1.000,0.000,false,0,-1.0,127.6,0,0,7650
72,1,0.4,29.6,0.020,-0.8,-0.006,1.000,0.000,false,0,-1.0,127.6,0,0,7761
73,1,0.4,31.6,0.010,-0.8,-0.003,1.000,0.000,false,0,-1.0,127.6,0,0,7871
74,1,0.8,33.4,0.000,0.8,-0.013,1.000,0.000,false,0,-1.0,128.4,0,0,7979
75,1,0.8,35.4,0.010,0.7,-0.014,1.000,0.000,false,0,-1.0,128.4,0,0,8092
76,1,0.8,37.3,0.020,0.6,-0.015,1.000,0.000,false,0,-1.0,128.4,0,0,8200
77,1,0.8,38.1,0.030,0.5,-0.016,1.000,0.000,false,0,-1.0,128.4,0,0,8310
78,1,0.8,40.0,0.040,0.3,-0.015,1.000,0.000,false,0,-1.0,128.4,0,0,8420
79,1,0.8,41.6,0.050,0.2,-0.015,1.000,0.000,false,0,-1.0,128.4,0,0,8527
80,1,0.8,43.5,0.050,0.1,-0.014,1.000,0.000,false,0,-1.0,128.4,0,0,8638
81,1,0.8,45.3,0.050,0.0,-0.012,1.000,0.000,false,0,-1.0,128.4,0,0,8747
82,1,1.2,47.2,0.050,0.9,-0.017,1.000,0.000,false,0,-1.0,125.2,0,0,8856
83,1,1.2,48.8,0.070,0.8,-0.019,1.000,0.000,false,0,-1.0,125.2,0,0,8965
84,1,1.2,50.6,0.090,0.7,-0.020,1.000,0.000,false,0,-1.0,125.2,0,0,9074
85,1,1.2,52.4,0.100,0.5,-0.019,1.000,0.000,false,0,-1.0,125.2,0,0,9184
86,1,1.2,54.2,0.110,0.4,-0.019,1.000,0.000,false,0,-1.0,125.2,0,0,9293
87,1,1.2,55.7,0.120,0.2,-0.017,1.000,0.000,false,0,-1.0,125.2,0,0,9400
88,1,1.2,57.5,0.120,0.1,-0.016,1.000,0.000,false,0,-1.0,125.2,0,0,9508
89,1,1.5,59.2,0.130,0.4,-0.013,1.000,0.000,false,0,-1.0,121.2,0,0,9619
90,1,1.5,61.0,0.140,0.3,-0.013,1.000,0.000,false,0,-1.0,121.2,0,0,9727
91,1,1.5,62.4,0.140,0.1,-0.010,1.000,0.000,false,0,-1.0,121.2,0,0,9835
92,1,1.5,64.2,0.140,0.0,-0.009,1.000,0.000,false,0,-1.0,121.2,0,0,9944
93,1,1.5,65.9,0.140,-0.1,-0.007,1.000,0.000,false,0,-1.0,121.2,0,0,10056
