tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,obs_count,obs_nearest_dist,target_speed,stuck_ticks,reverse_ticks,elapsed_ms
1,1,0.4,0.0,-0.000,0.0,-0.008,1.000,0.000,false,0,-1.0,127.6,0,0,0
2,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,85
3,1,0.4,-0.0,0.010,29.2,-0.139,1.000,0.000,false,0,-1.0,127.6,0,0,307
4,1,0.4,-0.0,0.010,-166.1,0.729,1.000,0.000,false,0,-1.0,127.6,0,0,450
5,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,556
6,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,666
7,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,776
8,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,890
9,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1035
10,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1140
11,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1248
12,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1359
13,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1467
14,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1579
15,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1687
16,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1796
17,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,1918
18,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2017
19,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2127
20,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2235
21,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2343
22,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,0,-1.0,127.6,0,0,2455
